"id","word","count","count_n","count_h","count_u"
"714","olmasi","310","168","77","65"
"333","hep","308","141","79","88"
"680","yerine","306","152","78","76"
"775","belki","306","147","71","88"
"1895","oluyor","305","149","75","81"
"314","eden","303","141","62","100"
"839","an","302","149","84","69"
"2032","olmayan","302","143","64","95"
"103","evet","298","139","79","80"
"436","10","297","162","64","71"
"625","turk","297","144","76","77"
"319","bugun","294","135","68","91"
"582","bak","293","123","81","89"
"332","olacak","292","151","70","71"
"47","yapan","289","146","63","80"
"1499","sene","289","166","53","70"
"4315","sizin","289","136","57","96"
"1439","yil","285","137","78","70"
"1780","diger","285","137","74","74"
"1076","soyle","284","137","85","62"
"10","4","283","159","58","66"
"599","kadin","283","113","83","87"
"321","turkiye","279","144","59","76"
"1585","tane","278","131","75","72"
"1096","gelen","277","130","73","74"
"1448","veya","275","147","59","69"
"1472","amk","275","129","70","76"
"224","adamin","274","135","63","76"
"672","tarafindan","271","128","51","92"
"54","yer","270","131","70","69"
"1973","geldi","270","130","71","69"
"243","mac","269","189","44","36"
"1016","onun","269","137","62","70"
"390","gecen","268","138","58","72"
"1388","olmak","265","137","68","60"
"1014","demek","263","119","63","81"
"61","sana","262","117","68","77"
"239","kotu","260","125","59","76"
"143","uzerine","257","129","58","70"
"1606","aslinda","257","143","57","57"
"502","eger","256","134","48","74"
"1664","allah","254","101","53","100"
"11","arkadas","253","108","67","78"
"490","ulkede","253","103","49","101"
"1094","kac","253","120","60","73"
"129","gercekten","251","122","57","72"
"1656","gerek","250","128","67","55"
"1449","yoksa","249","128","56","65"
"541","adamlar","249","121","43","85"
"1009","geri","248","122","59","67"
"2902","oy","247","123","43","81"
"799","durum","246","122","61","63"
"1385","seyler","245","105","63","77"
"1396","tabi","244","122","71","51"
"2525","ayrica","244","122","64","58"
"225","sahip","242","128","64","50"
"1693","size","242","109","62","71"
"2419","yuzden","241","124","56","61"
"3456","diyen","241","111","58","72"
"2511","pek","240","135","49","56"
"1114","varsa","239","117","55","67"
"631","olabilir","238","133","62","43"
"104","buna","237","116","46","75"
"159","yaptigi","237","119","49","69"
"1776","onemli","237","126","66","45"
"155","vardi","236","115","60","61"
"2710","kim","236","118","65","53"
"1824","cocuk","235","90","60","85"
"51","geliyor","235","120","60","55"
"679","olay","235","103","47","85"
"2859","akp","234","109","31","94"
"1436","bence","234","128","62","44"
"715","lazim","233","128","50","55"
"425","vardir","231","112","65","54"
"2029","uzun","231","111","66","54"
"1545","diyor","230","106","43","81"
"286","degildir","229","127","45","57"
"2498","hemen","229","104","71","54"
"1833","ona","227","101","58","68"
"2039","kendini","226","117","47","62"
"510","vs","220","132","43","45"
"823","ilgili","220","114","46","60"
"229","bu","219","94","73","52"
"247","olmaz","219","104","48","67"
"180","bundan","216","100","62","54"
"2083","yere","216","109","51","56"
"2861","mesela","214","105","60","49"
"357","gereken","213","114","43","56"
"4760","etmek","210","99","47","64"
"2726","ulkenin","210","81","31","98"
"26","bize","209","110","44","55"
"990","bazi","209","94","46","69"
"3414","insanlarin","209","82","54","73"
"1445","basina","209","110","40","59"
"1990","dedi","208","97","62","49"
"2581","dunya","207","107","47","53"
"1127","ediyorum","206","102","53","51"
"654","kiz","205","67","74","64"
"509","yerde","204","86","59","59"
"1022","arada","202","103","47","52"
"1018","kabul","201","96","46","59"
"2516","hayir","201","101","53","47"
"2517","hakkinda","199","95","56","48"
"3400","seni","199","93","48","58"
"3828","ediyor","198","84","44","70"
"2808","devlet","196","87","32","77"
"750","ay","196","102","43","51"
"1138","yanlis","196","89","53","54"
"1313","sanirim","196","98","59","39"
"257","takim","195","134","37","24"
"656","adami","194","99","51","44"
"727","acik","194","99","48","47"
"2238","ulke","194","70","36","88"
"1558","zor","192","108","36","48"
"753","erkek","192","81","58","53"
"367","gercek","191","100","40","51"
"260","belli","190","98","47","45"
"2252","niye","190","90","47","53"
"501","not","189","100","43","46"
"184","neyse","188","93","49","46"
"1108","dedim","188","82","67","39"
"4411","hadi","188","86","55","47"
"322","arasinda","187","90","57","40"
"67","saat","185","83","49","53"
"474","turkiyede","185","90","39","56"
"772","kez","185","92","45","48"
"800","farkli","184","96","46","42"
"2368","hangi","182","88","55","39"
"1813","altinda","182","88","39","55"
"725","seyi","181","90","41","50"
"3043","bunlari","180","95","35","50"
"5814","20","180","104","42","34"
"340","6","178","85","42","51"
"77","be","177","82","52","43"
"769","ha","177","89","38","50"
"1074","ortaya","176","99","34","43"
"1694","yuksek","176","93","34","49"
"2217","isi","175","87","40","48"
"1081","yapmak","175","79","52","44"
"3125","SMILEEMOTICON","175","71","83","21"
"3192","tabii","174","85","37","52"
"1902","amina","174","75","38","61"
"1999","gelip","174","84","40","50"
"1166","insanin","172","65","49","58"
"1955","yapiyor","172","80","51","41"
"3388","normal","172","80","47","45"
"4220","bizi","172","81","28","63"
"3745","anda","171","88","47","36"
"3665","gelmis","170","77","39","54"
"528","veren","170","84","36","50"
"5050","ustune","170","78","41","51"
"5246","gol","168","130","25","13"
"675","orada","168","70","39","59"
"153","calisan","167","74","37","56"
"1119","nedir","167","70","40","57"
"45","kucuk","166","67","52","47"
"413","konu","166","88","36","42"
"946","on","166","79","49","38"
"2004","yakin","166","84","37","45"
"4517","surekli","166","86","42","38"
"815","uzerinde","165","77","49","39"
"1544","adama","165","88","36","41"
"1890","alip","165","83","36","46"
"2018","15","165","85","38","42"
"1614","fakat","164","92","38","34"
"434","gelir","164","81","39","44"
"3802","diyerek","164","91","29","44"
"1948","gidip","163","70","42","51"
"1584","uc","162","80","42","40"
"527","cevap","162","78","50","34"
"1033","yuzunden","162","71","39","52"
"486","zorunda","161","82","32","47"
"3693","kere","161","79","44","38"
"3369","el","160","78","31","51"
"4448","sozluk","160","76","51","33"
"2423","bok","160","65","34","61"
"1133","dunyanin","160","74","47","39"
"716","yapilan","159","85","34","40"
"31","birlikte","158","82","42","34"
"273","turlu","158","84","33","41"
"488","sirf","158","82","32","44"
"2086","olup","157","80","32","45"
"5088","tekrar","156","75","42","39"
"5370","abi","155","74","43","38"
"5796","zira","155","83","34","38"
"71","e","155","76","43","36"
"1008","peki","155","76","32","47"
"3673","eski","154","93","26","35"
"3644","7","153","76","39","38"
"683","yaninda","153","75","40","38"
"344","maci","152","117","24","11"
"515","yoktur","152","76","31","45"
"699","filan","152","77","36","39"
"439","sizi","151","70","39","42"
"3405","ozellikle","151","75","36","40"
"1173","olmadigi","151","79","34","38"
"2634","bos","151","72","38","41"
"2759","sorun","151","89","25","37"
"3431","goz","150","75","32","43"
"355","bin","150","67","33","50"
"1521","soz","150","70","40","40"
"1795","sonunda","150","77","34","39"
"1236","olursa","149","79","35","35"
"445","isin","146","76","28","42"
"742","merak","146","64","41","41"
"975","kendisine","146","67","46","33"
"133","arkadaslar","145","71","34","40"
"398","laf","145","67","37","41"
"587","hak","145","75","24","46"
"1834","cocugu","145","52","35","58"
"181","birkac","144","69","40","35"
"3329","ikinci","143","88","33","22"
"1354","bir","143","68","36","39"
"6129","boyunca","143","65","43","35"
"705","uzerinden","141","73","22","46"
"763","sabah","141","56","51","34"
"1015","istiyorum","141","62","41","38"
"3731","azindan","141","83","28","30"
"1674","orospu","141","43","23","75"
"37","100","140","69","35","36"
"329","gelecek","140","67","43","30"
"1043","entry","140","66","44","30"
"389","yapti","139","72","22","45"
"1814","alan","139","75","27","37"
"2133","gece","139","49","48","42"
"3927","rahat","139","71","32","36"
"110","karar","138","63","36","39"
"385","cikip","138","64","29","45"
"449","bakin","138","73","27","38"
"1000","etti","138","78","24","36"
"5963","tamam","138","67","35","36"
"1171","herkesin","138","77","29","32"
"1886","30","137","78","30","29"
"120","adi","137","64","31","42"
"4170","ayri","137","65","37","35"
"1524","kendine","136","60","47","29"
"6537","kisa","136","66","38","32"
"4851","buraya","135","72","30","33"
"267","futbol","135","94","21","20"
"982","kardesim","134","74","36","24"
"3514","bunlarin","134","63","27","44"
"1157","halde","134","53","34","47"
"1610","fark","133","73","28","32"
"381","milyon","133","74","23","36"
"719","net","133","66","19","48"
"4034","cikti","133","63","31","39"
"4001","kalan","132","79","27","26"
"1136","insanlari","132","54","29","49"
"1280","ondan","132","66","36","30"
"1039","eder","132","62","33","37"
"2683","edip","132","67","26","39"
"2807","parti","132","65","24","43"
"2289","diyorum","131","51","37","43"
"278","yapmis","131","70","30","31"
"301","tamamen","131","68","33","30"
"1579","kaldi","131","67","34","30"
"73","git","130","56","37","37"
"2310","acaba","130","48","34","48"
"2959","hani","130","74","26","30"
"842","a","129","59","44","26"
"2224","ozel","129","61","36","32"
"1400","yalniz","128","64","36","28"
"244","milli","128","74","31","23"
"3178","secim","128","60","24","44"
"3994","herhangi","127","67","31","29"
"602","kesin","127","57","31","39"
"636","baslik","127","51","45","31"
"965","kendimi","127","56","40","31"
"1013","sacma","127","68","37","22"
"1887","yasinda","126","52","37","37"
"2006","etmis","126","59","28","39"
"3144","dun","125","66","29","30"
"173","yazik","125","51","28","46"
"676","ciddi","124","63","19","42"
"1225","hafta","123","70","30","23"
"1292","evde","123","54","40","29"
"1375","cikan","123","66","29","28"
"1919","almis","123","64","27","32"
"10881","dahi","123","67","20","36"
"334","beraber","122","52","37","33"
"546","basinda","122","67","27","28"
"4814","durumu","122","72","20","30"
"6573","yarin","122","58","27","37"
"2622","genel","122","68","28","26"
"3062","durumda","122","61","28","33"
"1350","aksam","121","59","38","24"
"505","derken","121","68","26","27"
"3834","kolay","121","56","28","37"
"1223","bilmiyorum","120","60","33","27"
"1331","lira","120","53","28","39"
"5318","kafa","120","61","26","33"
"136","polis","120","37","23","60"
"342","dakika","120","62","35","23"
"194","asla","119","50","31","38"
"487","degilim","119","68","29","22"
"4247","mutlu","119","60","37","22"
"4112","ederim","118","57","32","29"
"718","gayet","118","67","25","26"
"1490","disinda","118","69","21","28"
"1611","hele","117","62","25","30"
"3291","muhtemelen","117","62","24","31"
"5543","tl","117","56","26","35"
"5528","avrupa","116","72","20","24"
"1306","almak","116","53","33","30"
"1870","yol","116","69","25","22"
"2241","mal","116","47","28","41"
"985","yahu","116","64","17","35"
"1165","sahibi","115","51","29","35"
"2222","defa","115","51","29","35"
"6698","zamanda","115","60","24","31"
"9158","haber","115","58","29","28"
"640","demis","114","43","31","40"
"4766","yapar","114","56","27","31"
"1339","eve","114","48","33","33"
"1532","sure","114","50","35","29"
"2559","ust","114","58","31","25"
"2864","resmen","113","61","23","29"
"234","eksi","113","57","33","23"
"688","ettigi","113","58","22","33"
"402","der","112","61","20","31"
"2592","icine","112","52","28","32"
"7261","8","112","53","29","30"
"9628","kimsenin","112","51","31","30"
"830","yardim","111","46","28","37"
"3560","verdigi","111","58","23","30"
"4272","sebep","111","53","28","30"
"3074","12","111","65","23","23"
"1387","destek","111","58","19","34"
"1556","gordum","110","46","40","24"
"1661","ufak","110","64","19","27"
"1997","olmadigini","110","59","26","25"
"183","sunu","110","60","24","26"
"6545","ev","110","44","38","28"
"3059","hdp","110","57","12","41"
"3267","bakalim","109","60","27","22"
"259","takimi","109","82","12","15"
"613","gecmis","109","59","25","25"
"1572","onlara","109","53","20","36"
"3419","onlari","109","56","27","26"
"3373","oglum","108","51","37","20"
"392","ortada","108","55","18","35"
"653","genc","108","58","26","24"
"74","ic","107","51","26","30"
"524","50","107","53","26","28"
"968","kadinin","107","27","30","50"
"3575","kendisini","107","64","24","19"
"3620","mumkun","107","48","25","34"
"2451","konusunda","107","62","22","23"
"1657","devletin","107","48","15","44"
"2089","sosyal","107","50","25","32"
"5235","fenerbahce","107","85","11","11"
"5490","adina","107","53","25","29"
"3653","chp","106","63","14","29"
"160","olayi","106","50","18","38"
"186","sonuc","106","59","20","27"
"306","giden","106","51","28","27"
"737","dusunuyorum","106","48","27","31"
"1386","insanlara","106","47","19","40"
"1428","la","106","51","24","31"
"1933","benden","105","49","32","24"
"3858","dunyada","105","45","24","36"
"4373","basladi","105","49","27","29"
"21","yemek","105","48","30","27"
"1038","takip","105","57","32","16"
"2694","kisinin","105","50","23","32"
"3258","sebebi","104","69","18","17"
"1772","yeri","104","42","33","29"
"5946","olmadi","104","60","21","23"
"8064","aldigi","104","62","17","25"
"22","sonrasi","103","48","22","33"
"761","edecek","103","46","27","30"
"811","ilan","103","46","17","40"
"535","orta","102","63","20","19"
"539","aklima","102","47","26","29"
"5602","onlarin","102","48","23","31"
"3432","onunde","102","52","18","32"
"8334","gitti","102","47","30","25"
"4143","yeter","101","54","25","22"
"2449","ister","101","49","23","29"
"4824","arkadasim","101","42","33","26"
"97","gunu","101","48","26","27"
"1457","deger","101","61","24","16"
"1137","yalan","100","54","18","28"
"1299","yoktu","100","52","19","29"
"2015","umarim","100","48","25","27"
"2457","dikkat","100","57","23","20"
"2840","cikar","100","47","27","26"
"3670","al","100","42","28","30"
"3931","hakli","100","48","19","33"
"4072","gel","100","53","23","24"
"6127","yillardir","100","46","20","34"
"6544","insani","100","41","31","28"
"10470","bilmem","100","51","25","24"
"3041","aldi","99","58","19","22"
"3080","kan","99","40","22","37"
"6784","asil","99","53","22","24"
"3779","hava","99","47","34","18"
"4283","nefret","99","50","14","35"
"4451","millet","99","46","16","37"
"771","gider","99","52","22","25"
"797","ceza","99","45","17","37"
"5466","sag","99","59","20","20"
"2667","yildir","98","52","23","23"
"2702","yapmaya","98","51","17","30"
"1140","agir","98","49","24","25"
"1301","dolu","98","43","30","25"
"366","adamlarin","98","49","16","33"
"283","birinin","97","45","23","29"
"533","turkiyenin","97","49","19","29"
"3032","etmeye","97","48","19","30"
"3106","hale","97","47","21","29"
"5826","konuda","97","48","22","27"
"4765","isteyen","97","54","23","20"
"1467","saygi","97","41","35","21"
"3642","derece","97","45","33","19"
"9362","onune","97","34","28","35"
"8845","egitim","97","41","30","26"
"8859","dahil","96","50","23","23"
"5618","top","96","63","18","15"
"388","aciklama","96","47","15","34"
"2875","basit","96","51","21","24"
"1402","bes","96","45","25","26"
"2053","din","96","31","28","37"
"5341","galatasaray","96","76","13","7"
"5108","besiktas","95","66","18","11"
"809","birini","95","46","17","32"
"3485","kadinlar","95","39","30","26"
"6081","mesaj","95","44","25","26"
"6371","veriyor","95","44","25","26"
"1245","varmis","95","48","20","27"
"7195","rahatsiz","95","39","27","29"
"2293","iyice","95","42","19","34"
"10014","vermek","95","51","24","20"
"2779","savas","94","39","25","30"
"2788","teror","94","34","9","51"
"3808","hareket","94","51","23","20"
"4613","olmasa","94","45","20","29"
"447","yabanci","94","44","27","23"
"629","yapip","94","47","24","23"
"1158","elbette","94","52","22","20"
"1533","ara","93","56","24","13"
"2008","ses","93","35","28","30"
"3827","hayat","93","47","23","23"
"4378","neredeyse","93","52","19","22"
"819","lutfen","93","43","26","24"
"12315","konusu","93","51","21","21"
"421","zamaninda","92","52","15","25"
"687","iddia","92","50","12","30"
"1122","olmasin","92","34","20","38"
"1520","kesinlikle","92","41","26","25"
"2753","yillik","92","48","22","22"
"5400","kurt","92","44","22","26"
"4042","oyun","92","54","18","20"
"4057","basarili","92","46","28","18"
"5844","takimin","92","73","11","8"
"3086","cocuklari","91","32","20","39"
"3265","haline","91","45","16","30"
"112","biliyorum","91","40","22","29"
"3813","ardindan","91","43","22","26"
"4681","sayesinde","91","52","23","16"
"5095","teknik","91","64","11","16"
"5470","sol","91","57","16","18"
"9241","calisiyor","91","41","20","30"
"9473","buradan","90","45","25","20"
"2503","olun","90","44","26","20"
"1398","halk","90","33","21","36"
"1894","hayatta","90","40","23","27"
"3394","gelince","90","43","21","26"
"360","sonraki","90","44","25","21"
"7788","25","90","51","22","17"
"2450","misiniz","89","36","19","34"
"3263","olunca","89","53","18","18"
"5647","verdi","89","43","17","29"
"5595","sonrasinda","89","46","19","24"
"1172","bilgi","89","49","20","20"
"2050","altina","89","44","17","28"
"2076","ornek","89","41","25","23"
"1660","gosteren","88","51","13","24"
"3289","yazar","88","41","21","26"
"5545","olurdu","88","52","20","16"
"617","cikiyor","88","44","19","25"
"4362","oldum","88","46","25","17"
"3722","2015","87","34","19","34"
"1985","izin","87","45","21","21"
"2551","parayi","87","49","15","23"
"4506","bilir","87","38","24","25"
"5041","gecti","87","34","26","27"
"4641","gidiyor","86","40","15","31"
"1129","bircok","86","51","20","15"
"7844","seklinde","86","43","24","19"
"7888","et","85","36","27","22"
"1154","edit","85","47","18","20"
"1707","yillar","85","36","30","19"
"4098","super","85","46","24","15"
"4561","cikmis","85","34","23","28"
"5561","sefer","85","51","21","13"
"302","siyasi","85","32","20","33"
"1065","neler","85","42","18","25"
"2596","duzgun","85","47","17","21"
"2648","olm","84","35","28","21"
"1842","hali","84","40","22","22"
"1857","koca","84","46","15","23"
"630","vermis","84","38","22","24"
"729","henuz","84","46","20","18"
"793","varken","84","51","14","19"
"3393","gerekiyor","84","40","18","26"
"4608","zarar","84","44","19","21"
"9051","olmuyor","84","41","23","20"
"5190","biliyor","83","41","17","25"
"1327","aldim","83","40","27","16"
"1799","at","83","34","26","23"
"20","herkese","83","34","23","26"
"522","40","83","53","13","17"
"2639","ifade","82","44","14","24"
"3149","edilen","82","39","18","25"
"6192","icerisinde","82","44","19","19"
"1619","ettim","82","30","22","30"
"1867","suru","82","39","15","28"
"2105","elde","82","50","14","18"
"13172","9","82","44","17","21"
"11415","yapacak","81","53","18","10"
"1621","yilda","81","42","21","18"
"1883","bazen","81","36","27","18"
"1952","ana","81","42","21","18"
"1974","herhalde","81","41","15","25"
"2934","canli","81","29","17","35"
"241","hayati","81","39","15","27"
"431","gormek","81","50","13","18"
"614","oncelikle","81","44","20","17"
"808","olmadan","81","41","19","21"
"6638","bari","81","41","21","19"
"3439","keske","81","36","23","22"
"3562","bulunan","81","38","21","22"
"4157","araba","81","39","22","20"
"2458","edin","80","36","20","24"
"2618","kitap","80","37","24","19"
"2649","birakin","80","43","18","19"
"3019","misin","80","30","29","21"
"3094","elinde","80","45","19","16"
"1541","dusunun","80","42","19","19"
"1687","istedigi","80","37","11","32"
"2153","dini","80","23","25","32"
"590","can","80","37","9","34"
"4780","budur","80","44","18","18"
"12204","dalga","80","40","15","25"
"10857","istanbul","79","38","19","22"
"4700","gerekir","79","44","17","18"
"2373","sonuna","79","46","20","13"
"3122","yerinde","79","40","11","28"
"3882","sonucu","79","39","15","25"
"520","cocuklar","79","34","21","24"
"564","zengin","79","35","19","25"
"1178","uzak","79","46","16","17"
"1666","versin","79","30","10","39"
"1897","sikeyim","79","28","15","36"
"1901","adalet","79","31","15","33"
"1896","anasini","78","25","18","35"
"2200","istiyor","78","42","14","22"
"2234","islam","78","24","22","32"
"3077","gectim","78","42","15","21"
"7339","tur","78","42","14","22"
"7509","gec","78","34","25","19"
"5019","gelsin","78","36","22","20"
"5023","gunde","78","42","15","21"
"72","madem","78","37","24","17"
"111","verdim","78","33","24","21"
"323","macta","78","63","10","5"
"816","diyenler","78","42","18","18"
"4385","olma","78","41","19","18"
"7304","hakki","77","30","24","23"
"1618","gorunce","77","40","23","14"
"58","gidin","77","30","21","26"
"561","emin","77","41","18","18"
"5770","sozlukte","77","42","22","13"
"5939","onceki","77","47","12","18"
"12358","sonucta","77","35","22","20"
"9352","olmasina","77","36","20","21"
"8470","canim","77","28","31","18"
"8353","gerci","76","37","17","22"
"8694","olum","76","31","22","23"
"10593","terorist","76","24","13","39"
"5771","vay","76","32","18","26"
"6151","bildigin","76","41","17","18"
"2919","baris","76","25","17","34"
"2963","23","76","37","15","24"
"3100","akpnin","76","41","6","29"
"540","tip","76","35","19","22"
"562","oldugum","76","38","26","12"
"1667","kufur","76","32","15","29"
"1679","adim","76","39","15","22"
"2025","dolar","76","37","16","23"
"5508","ustelik","76","39","15","22"
"5104","sezon","75","58","9","8"
"5311","dort","75","34","19","22"
"6056","tanim","75","40","19","16"
"3479","helâl","75","34","23","18"
"4440","babam","75","35","20","20"
"6779","dolayisiyla","75","46","16","13"
"1156","dedigim","75","30","24","21"
"1233","olmaya","75","33","24","18"
"1359","yaklasik","75","34","17","24"
"1412","valla","75","34","28","13"
"1888","yerden","75","34","17","24"
"1931","aci","75","31","9","35"
"3053","bunlara","75","39","10","26"
"40","hesap","75","26","27","22"
"336","yeniden","75","34","16","25"
"419","alir","75","42","14","19"
"231","degildi","74","43","14","17"
"346","yandan","74","30","16","28"
"592","haberi","74","29","16","29"
"600","tecavuz","74","24","9","41"
"3921","verilen","74","41","13","20"
"4546","aile","74","30","16","28"
"4627","efendim","74","40","21","13"
"2633","ici","74","42","11","21"
"2666","13","74","35","11","28"
"2743","ulkeyi","74","27","18","29"
"6888","garip","74","41","16","17"
"7532","35","74","41","15","18"
"1268","sirada","74","34","21","19"
"1650","oldugundan","74","41","20","13"
"1696","ahmet","74","31","18","25"
"1825","eline","74","39","16","19"
"1930","inanilmaz","74","45","20","9"
"1993","oraya","74","37","15","22"
"9093","soru","74","37","14","23"
"1690","ben","73","28","29","16"
"4195","film","73","36","28","9"
"412","verir","73","34","21","18"
"612","deyip","73","35","19","19"
"1004","kadina","73","24","23","26"
"2952","pkk","73","24","9","40"
"2973","karsisinda","73","42","14","17"
"17664","ol","73","42","15","16"
"8623","hakkini","72","33","19","20"
"10510","tercih","72","40","17","15"
"14715","dusuk","72","48","11","13"
"2505","uygun","72","37","17","18"
"2706","verip","72","34","15","23"
"2926","olanlar","72","36","13","23"
"1628","11","72","39","14","19"
"6240","atip","72","33","16","23"
"568","isler","72","33","18","21"
"637","komik","72","34","19","19"
"5574","nereye","72","38","11","23"
"2081","dogal","71","36","18","17"
"3624","ali","71","33","18","20"
"4029","aliyor","71","29","15","27"
"4430","cumle","71","35","14","22"
"2296","tayyip","71","34","14","23"
"176","insana","71","35","18","18"
"6590","arasi","71","43","13","15"
"7260","yasayan","71","31","19","21"
"5101","bilen","70","39","13","18"
"1124","yorum","70","41","14","15"
"1176","etme","70","28","23","19"
"1347","yaptim","70","34","18","18"
"6125","basi","70","29","16","25"
"6155","ulkeye","70","34","12","24"
"2244","dedigi","70","32","21","17"
"3112","baskan","70","40","11","19"
"3120","mhp","70","44","7","19"
"337","kirmizi","70","41","11","18"
"709","kizin","70","23","18","29"
"9477","guc","70","33","18","19"
"11414","diyecek","69","27","16","26"
"10910","almaya","69","30","17","22"
"326","maalesef","69","32","10","27"
"608","akil","69","30","15","24"
"651","18","69","30","20","19"
"4535","sakin","69","31","20","18"
"4630","cidden","69","33","18","18"
"4708","kalmis","69","37","16","16"
"3661","sayin","69","29","18","22"
"3943","tepki","69","29","19","21"
"4287","burda","69","33","19","17"
"3163","sevgili","69","29","14","26"
"1232","yuz","69","33","20","16"
"1617","basligi","69","29","22","18"
"1949","anne","69","18","27","24"
"1964","hepsini","69","35","17","17"
"2064","gerizekali","69","38","16","15"
"2142","birsey","69","28","19","22"
"1591","bas","68","40","13","15"
"1676","yemin","68","32","18","18"
"4600","seyleri","68","35","14","19"
"338","beyaz","68","31","13","24"
"395","yapma","68","34","17","17"
"6725","zamanlar","68","35","17","16"
"3773","sira","68","35","22","11"
"4169","olmustur","68","35","15","18"
"5754","kendilerini","68","30","17","21"
"5856","bizde","68","37","16","15"
"5941","guclu","68","34","10","24"
"5947","olsaydi","68","34","15","19"
"6046","hayal","67","30","20","17"
"6230","sehit","67","22","14","31"
"6503","diyelim","67","39","9","19"
"252","baskani","67","29","18","20"
"652","yasindaki","67","33","14","20"
"853","the","67","40","17","10"
"1252","oldukca","67","33","16","18"
"2011","adini","67","31","19","17"
"5577","universite","67","20","17","30"
"3489","alin","67","31","16","20"
"3972","sorunu","67","39","11","17"
"4301","kizi","67","27","17","23"
"4333","seyin","67","34","16","17"
"4375","hayvan","67","28","18","21"
"2282","seye","67","29","11","27"
"2946","akpye","67","34","11","22"
"8919","alt","67","31","21","15"
"9257","bakip","66","22","26","18"
"9623","ustunde","66","33","11","22"
"13024","olduguna","66","37","14","15"
"1340","gittim","66","35","18","13"
"1934","yas","66","34","14","18"
"1947","cocugun","66","27","13","26"
"6232","yilinda","66","38","16","12"
"96","istemiyorum","66","29","15","22"
"187","itibariyle","66","37","18","11"
"315","futbolcu","66","47","14","5"
"328","yana","66","39","11","16"
"464","alti","66","33","17","16"
"4044","birden","66","36","15","15"
"7143","sik","66","29","15","22"
"7397","attigi","65","40","11","14"
"2610","ortalama","65","41","10","14"
"3229","musunuz","65","30","15","20"
"3319","asagi","65","27","20","18"
"1231","yuzde","65","31","14","20"
"1286","mantikli","65","36","9","20"
"1602","basta","65","32","21","12"
"2231","musluman","65","17","25","23"
"3428","ilginc","65","37","16","12"
"4424","i","65","36","20","9"
"4542","baba","65","21","19","25"
"5436","haliyle","65","35","18","12"
"57","kimseye","65","29","18","18"
"14859","okul","65","22","18","25"
"7924","yari","65","44","15","6"
"8260","sistemi","65","36","11","18"
"10089","silah","65","32","9","24"
"10249","oturup","64","39","12","13"
"8406","koyim","64","31","15","18"
"2537","soguk","64","30","27","7"
"2821","bomba","64","24","6","34"
"2849","siktir","64","27","13","24"
"3185","hukumet","64","33","7","24"
"7047","tesekkur","64","32","18","14"
"4659","farki","64","38","8","18"
"4665","kismi","64","33","16","15"
"1284","gene","64","28","13","23"
"1502","grup","64","33","16","15"
"1583","olmali","64","38","15","11"
"1927","gordugum","64","29","19","16"
"3672","ac","64","36","13","15"
"3674","kimin","64","33","13","18"
"4253","soyluyorum","64","31","16","17"
